公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
15568083	金岸公司	金岸公司	2016-12-16	26.73	500000		
15568083	金岸公司	金岸公司	2016-12-21	26.60	500000		
15571568	金山区国资委		2016-12-21		4000000		
15571568	金山区国资委		2016-12-22		2000000		
1558559	冠联国际投资有限公司	冠联国际	2015-02-12	9.90	6000000	0	0
15586712	天津泰达	天津泰达	2016-12-27	10.25	5529		
15586712	天津泰达	天津泰达	2016-12-27	10.25	5529	/	/
15594262	天津泰达	天津泰达	2016-12-28	10.19	5529		
15594262	天津泰达	天津泰达	2016-12-28	10.19	5529	/	/
15594746	中比基金	中比基金	2016-12-28	27.28至44.14	26724000	7646600	1.4288
15594747	香江股权投资公司		2016-12-28		11746714		
15604040	君康人寿保险股份有限公司	君康人寿	2016-12-02	15.00	6000000		
15604040	君康人寿保险股份有限公司	君康人寿	2016-12-22	13.06	12636413		
15604040	君康人寿保险股份有限公司	君康人寿	2016-12-29	13.34-13.54	3709900	18591600	4.1682
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-10	19.76	300		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-11	20.16	300		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-12	20.04	300		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-15	20.83	300		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2016-12-28	8.36	231.82		
15611449	中车四方车辆有限公司	中车四方车辆有限公司	2016-12-26	14.21元	1000000		
15611449	中车四方车辆有限公司	中车四方车辆有限公司	2016-12-28	14.27元	2000000		
15611449	中车四方车辆有限公司	中车四方车辆有限公司	2016-12-29	14.11元	3400000		
15611449	中车四方车辆有限公司	中车四方车辆有限公司	2016-12-30	14.04元	3993400		
15611449	中车四方车辆有限公司	中车四方车辆有限公司	2017-01-03	14.14元	35		
15611714	深圳证券交易所		2015-12-31		857500		
15612445	广州科技创业投资有限公司	广州科创	2016-12-27	22.74	200000		
15612445	广州科技创业投资有限公司	广州科创	2016-12-30	22.93	1500000		
15612476	云天化集团有限责任公司	云天化集团有限责任公司	2016-12-31	17.81	120.2		
15612476	股东名称	股东名称	本次减持前持有股份	本次减持前持有股份	本次减持后持有股份		
15612476	云天化集团有限责任公司	云天化集团有限责任公司	75,429,364	27.02%	149654728		
15612476	云天化集团有限责任公司	云天化集团有限责任公司	75,429,364	27.02%	149654728		
15617198	科技有限责任公司	金航数码	2016-08-30	41.56	36400		
15617198	科技有限责任公司	金航数码	2016-09-20	40.04	40000		
15617198	科技有限责任公司	金航数码	2016-09-21	40.23	28000		
15617198	科技有限责任公司	金航数码	2016-09-22	40.34	31000		
15617198	股东名称	股东名称	本次减持计划前持有的股份	本次减持计划前持有的股份	本次减持计划完成后持有的股份		
15617198	科技有限责任公司	金航数码	6,155,100	1.02	3155100		
15617198	科技有限责任公司	金航数码	6,155,100	1.02	3155100		
1561973	劲辉国际企业有限公司	劲辉国际企业有限公司	2015-02-06	21.20	150		
1561973	劲辉国际企业有限公司	劲辉国际企业有限公司	2015-02-09	21.32	150		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-02	11.97	2300000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-03	13.17	932000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-04	12.99	1000000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-05	13.47	480000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-09	13.11	335000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-10	14.30	817000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-12	15.78	260000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-18	8.97	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-25	8.73	300000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-26	8.51	500000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-27	8.81	1677400		
15635227	广东毅昌投资有限公司	毅昌投资	2016-05-03	8.69	500000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-05-04	9.00	1100000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-08	8.04	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-11	8.05	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-12	8.01	886700		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-13	8.05	1008000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-14	8.10	1250000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-08-03	7.66	288500		
15635227	广东毅昌投资有限公司	毅昌投资	2016-09-20	7.96	600000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-09-21	8.02	636000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-11-08	8.92	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-11-09	9.02	770000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-11-17	9.64	225000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-12-21	8.94	934400		
15635227	广东毅昌投资有限公司	毅昌投资	2017-01-10	10.24	50000		
15638760	中国五矿股份有限公司	五矿股份	2017-01-12		7202410		
15638760	中国五矿股份有限公司	五矿股份	2017-01-12		7202410		
15649303	深圳证券交易所		2017-01-17		775805		
15658421	兴宁市众益福投资有限公司	兴宁众益福	2017-01-19		112200		
15658421	兴宁众益福本次合计增持公司		2017-01-19		172200		
15693743	深圳证券交易所		2017-02-06		32080051		
15693743	深圳证券交易所		2017-01-05		29881865		
15693743	深圳证券交易所		2017-02-06		2198186		
15699788	南方水泥有限公司	南方水泥有限公司	2017-02-08	12.02	680900		
15700215	华基金管理有限公司	平安大华	2017-02-08	12.01	1866800	27072106	0.0499
15706565	浙江富润股份有限公司	浙江富润	2017-02-10	13.02	3000000		
15710274	四川蓝润资产管理有限公司	蓝润资产	2017-02-14		15443512		
157131	晋西集团		2011-10-12		537222		
157131	晋西集团		2012-10-11		2871229		
157131	晋西车轴股份有限公司	晋西车轴	2012-10-11		2871229		
157131	晋西车轴股份有限公司	晋西车轴	2012-10-11		2871229		
157131	晋西车轴股份有限公司	晋西车轴	2011-10-12		537222		
15715697	上海证券交易所		2017-02-15	9.23	7407796		
15715697	京投公司		2017-02-15	9.23	14815574		
15715697	京投公司		2017-02-15		237048740		
15715697	京投公司		2016-06-01	8.89	14815440	251864314	0.34
15719058	宁波凯撒	宁波凯撒	2017-02-16	14.7464	211615		
15719058	宁波凯撒	宁波凯撒	2017-02-17	14.7467	695652		
1572148	广新集团	广新集团	2015-01-14		110000		
1572148	广新集团	广新集团	2015-02-04		49400		
1572148	广新集团	广新集团	2015-04-02		7197712	-	-
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-04	30.625	38472		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-06	31.09	10000		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-16	31.44	30000		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-17	33.556	90000		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-25	33.662	100000		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-26	32.922	200000		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-02-27	33.129	150000		
1572675	北京市通达宝德科技发展有限公司	北京市通达宝德科技发展有限公司	2015-03-02	34.013	550000	---	---
1575043	久立集团	久立集团	2015-04-03	48.09	530000	131818574	39.16
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-01	11.00-11.30	850368		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-07	12.65	40000		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-08	12.70-13.30	3508100		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-09	12.30-12.42	530000		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-12	12.20-13.12	1440700		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-13	13.04-13.75	380000		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-23	12.07	120000		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2016-12-28	11.75	200000		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2017-02-23	11.42-11.64	1593100		
15752069	新疆生产建设兵团投资有限责任公司	新疆生产建设兵团投资有限责任公司	2017-02-24	11.10-11.17	1300000		
15753566	河南平高电气股份有限公司	公司	2018-01-03		13569213		
15753566	平高集团		2017-03-01		12666849		
15753566	平高集团		2018-01-03		13569213		
15753566	平高集团		2017-01-04		902329		
15753566	平高集团		2017-03-01		12666849		
1576293	湘江产业投资有限责任公司	湘江产业投资有限责任公司	2015-03-09	23.14	78000		
1576293	湘江产业投资有限责任公司	湘江产业投资有限责任公司	2015-03-10	23.39	100000		
1576293	湘江产业投资有限责任公司	湘江产业投资有限责任公司	2015-03-11	24.77	159000		
1576293	湘江产业投资有限责任公司	湘江产业投资有限责任公司	2015-03-13	24.66	134500		
1576293	湘江产业投资有限责任公司	湘江产业投资有限责任公司	2015-04-08	31.05	605100		
15771846	华鲁投资发展有限公司	华鲁投资	2017-03-07		370200		
1577911	上海证券交易所		2015-03-17		63752277	42533381	0.0431
15790404	深圳证券交易所		2017-02-20		36420000	36420000	0.0392
1581560	上海华服投资有限公司	华服投资	2015-04-10	21.17	5055	0	0
15839440	天伦控股有限公司	天伦控股	2016-09-07	26.20	100		
15839440	天伦控股有限公司	天伦控股	2016-09-08	27.18	30		
15839440	天伦控股有限公司	天伦控股	2016-11-16	说明:公司于2016年11月16日完成新股上市，2016年9月期间减持比例按新股上市前总股本160,898,400股为计算基础。	2016111620169160982528		
15840064	永乐九鼎	永乐九鼎	2017-03-23	60.21	120		
15855099	长安基金管理有限公司	”长安基金“	2017-03-28	13.30	24000000		
158590	海南黄金海岸集团有限公司	集团公司	2012-09-05		378400		
158590	上海证券交易所		2012-09-12		5540000		
158590	上海证券交易所		2012-09-12		17771700		
15885115	兴宁市众益福投资有限公司	兴宁众益福	2017-01-19		172200		
15885115	兴宁众益福自		2017-03-31		4571586		
15885115	兴宁众益福合计持有公司		2017-03-31		2859074		
15885115	兴宁市众益福投资有限公司	兴宁众益福	2017-03-31		1712512		
15885115	兴宁市众益福投资有限公司	兴宁众益福	2017-03-31		4571586		
15885115	上海证券交易所		2017-01-19		172200		
15885115	兴宁市众益福投资有限公司	兴宁众益福	2017-01-19		112200		
15885115	兴宁众益福合计增持公司		2017-01-19		172200		
15885115	兴宁市众益福投资有限公司	兴宁众益福	2017-03-31		2746874		
15885115	兴宁市众益福投资有限公司	兴宁众益福	2017-03-31		1652512		
15885115	兴宁众益福自		2017-03-31		4571586		
15903195	中庚集团		2017-03-17		2585600		
15903195	中庚集团		2017-04-06		25600		
15903195	中庚集团		2017-04-06		25600		
1595484	卓智鑫盈	卓智鑫盈	2015-04-09	16.47	6138000		
1595484	卓智鑫盈	卓智鑫盈	2015-04-10	16.84	5000000		
1595484	卓智鑫盈	卓智鑫盈	2015-04-13	18.24	4483310		
1595484	卓智鑫盈	卓智鑫盈	2015-04-15	21.12	1310168		
1595484	卓智鑫盈	卓智鑫盈	2015-04-16	21.29	1290000		
15990742	天津泰达投资控股有限公司	泰达控股	2015-06-04	32.18	121.9		
15990742	天津泰达投资控股有限公司	泰达控股	2017-04-19	28.18	130		
16039935	宝德控股	宝德控股	2017年4月	19.44	1028780		
16083995	深圳证券交易所		2017-04-26		938000		
16083995	郑州华合英农业科技中心		2014年7月份		29604982	29604982	0.0554
16104782	深圳证券交易所		2017-02-07		624402		
16127415	上海祥禾	上海祥禾	2017-05-02	25.02	14250003	0	0
16131541	新余高新区泽润投资管理有限公司	泽润投资	2016-11-02	46.09	3900		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2016-11-03	46.56	146100		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2016-11-04	47.38	99295		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2016-11-16	47.68	50705		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2017-04-21	38.83	131200		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2017-04-24	37.57	119000		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2017-05-02	36.68	65000		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2017-05-03	37.00	147000		
16131541	新余高新区泽润投资管理有限公司	泽润投资	2016-11-23	42.78	500000	0	0
16138806	新余丰禾朴实投资管理有限公司	丰禾朴实	2017-05-04	14.66	100		
16143564	日月控股	日月控股	2017-04-24	9.08	1140000		
16143564	日月控股	日月控股	2017-04-26	9.10	1332000		
16143564	日月控股	日月控股	2017-04-27	9.02	812398		
16143564	日月控股	日月控股	2017-04-28	9.13	110000		
16143564	日月控股	日月控股	2017-05-02	9.20	798300		
16143564	日月控股	日月控股	2017-05-03	9.21	340000		
16143564	日月控股	日月控股	2017-05-04	9.11	80000		
16143564	日月控股	日月控股	2017-05-05	8.98	380000		4992698
16149657	温州信德	温州信德	2016-12-28	11.24	200		
16149657	温州信德	温州信德	2017-02-28	11.71	100	59774381	
16156801	江苏中超投资集团有限公司	中超集团	2014-08-12	8.50	530		
161646	北京王府井国际商业发展有限公司	王府井国际	2012-08-08		960000		
16165563	上海证券交易所		2017-05-11		500000		
1617331	杭州江东富丽达热电有限公司	富丽达	2015-04-24	7.29	900	0	
162043	南车集团		2012-08-29		471000		
16244495	启东市华虹电子有限公司	华虹电子	2017-06-01		2899881		
16244495	启东市华虹电子有限公司	华虹电子	2017-06-01		2899881		
16244495	启东市华虹电子有限公司	华虹电子	2016-05-31		4391476		
16263093	上海亨升	上海亨升	2017-06-05	11.86	500000		
16263093	上海亨升	上海亨升	2017-06-06	11.79	219000		
16264046	复星谱润	复星谱润	2017-03-14	39.01	18300		
16267945	王晶翼先生	王晶翼先生	2014-09-24		60200	60200	
16267945	王晶翼先生	王晶翼先生	2017-06-08		130100	250500	
16270451	中国航发资产管理有限公司	航发资产	2017-06-08		1135300		
16270451	中国航发资产管理有限公司	航发资产	2017-06-08		1135300		
16270451	中国航发资产管理有限公司	航发资产	2017-06-08		1135300	1135300	0.0006
16271054	贝因美集团增持公司		2017-06-09		10225296		
16277433	上海市建国社会公益基金会	建国基金会	2017-06-08	9.54	1394926		3262085
16277433	高森投资	高森投资	2017-06-09	9.74	585599		27279149
1628584	北京七星华电科技集团有限责任公司	北京七星华电科技集团有限责任公司	2014-11-20	12.31	849957		
1628584	北京七星华电科技集团有限责任公司	北京七星华电科技集团有限责任公司	2015-02-03	13.42	4498599		
1628584	北京电子控股有限责任公司	北京电子控股有限责任公司	2015-04-08	14.79	23951753		
16289882	深圳证券交易所		2017-06-15		3990860	8800634	0.05
16290448	广田控股集团有限公司	广田控股	2017-06-15		15790842		
1629243	中粮集团有限公司	中粮集团有限公司	2015-04-29	12.227	20000000		
1629824	中国平煤神马集团	中国平煤神马集团	2015-04-29	12.06	765200	97663326	19.42
16302960	南华立风1号计划	南华立风1号计划	2017-06-20	17.816	2520200		
16310298	联创永溢	联创永溢	2017-03-21	20.73	1000000		
16310298	联创永溢	联创永溢	2017-06-15	17.18	840000		
16310298	联创永溢	联创永溢	2017-06-16	17.04	230000		
16310298	联创永溢	联创永溢	2017-06-19	17.13	150000		
16310298	联创永溢	联创永溢	2017-06-20	17.08	210000		
16310671	上海广信科技发展有限公司	上海广信	2016-11-23	39.82	1571555		
16310671	上海广信科技发展有限公司	上海广信	2016-12-26	34.76	2000000		
1632811	香塘集团有限公司	香塘集团有限公司	2015-05-05	31.71	200		
1632811	香塘集团有限公司	香塘集团有限公司	2015-05-06	31.32	200		
16328253	西藏天海集团有限责任公司	西藏天海集团有限责任公司	2017-05-09	12.09	648400		
16328253	西藏天海集团有限责任公司	西藏天海集团有限责任公司	2017-05-22	12.09	220800	38011094	
16332458	深圳昊天股权投资基金管理有限公司	深圳昊天	2017/6/28	45.48	250100	4759900	0.051
1634743	四川省长江集团有限公司	长江集团	2015-05-07	--	200.4511		
16349772	广东通盈创业投资有限公司	广东通盈创业投资有限公司	2016-09-05	44.54	814500	2301400	
16349894	股东大连承运投资集团有限公司	承运投资	2017-07-04	7.61	7500000		
16349894	股东大连承运投资集团有限公司	承运投资	2017-07-04	7.61	3449600		
1635613	南方工业资产管理有限责任公司	南方工业资产管理有限责任公司	2015-05-11	36.31	2000000		
1635654	新余禧瑞投资管理有限公司	新余禧瑞投资管理有限公司	2015-05-12	21.15	8000000		
16360466	启东市华虹电子有限公司	华虹电子	2017-07-07		670000		
16360466	启东市华虹电子有限公司	华虹电子	2017-07-07		670000		
16360466	启东市华虹电子有限公司	华虹电子	2017-05-31		7172697		
1636362	普天东方通信集团有限公司	普天东方通信集团有限公司	2015-05-12	25.41	3	0	-
1636362	珠海普天和平电信工业有限公司	和平电信	2015-05-12	24.92	320	0	-
1636450	深圳证券交易所		2014-05-12		1880475		
1636767	振兴实业公司	振兴实业	2015-05-12	16.02	13600000	0	0
1636927	邯郸钢铁集团有限责任公司	邯钢集团	5月4日、5月8日	5.786	80000000		
16372545	尹春芬		2017-07-12		2208427		
16372545	尹春芬		2017-07-12		1960000		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-05-16		3850320		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-05-22		346100		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-05-23		1200000		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-05-24		1700000		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-05-31		1179500		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-06-23		1000000		
16376646	深圳市劲嘉创业投资有限公司	劲嘉创投	2017-07-13		324500		
16384859	安徽中鼎控股（集团）股份有限公司	安徽中鼎控股（集团）股份有限公司	2017-07-14	19.88	10055200		
16384859	安徽中鼎控股（集团）股份有限公司	安徽中鼎控股（集团）股份有限公司	2017-07-17	18.37	5330000		
16393616	邱金兰	邱金兰	2017-07-18	13.50元	893844		
1640477	西子电梯集团有限公司	西子电梯	2015-05-13	21.33	1500000		
1640477	西子电梯集团有限公司	西子电梯	2015-05-14	21.67	2500000	160194420	
16407268	展力	展力	2017-07-24	11.43	45000		
16407283	中科汇通	中科汇通	2017-06-16	17.18	500	14149807	0.093
16410460	楚江集团	楚江集团	2017-07-24	14.89	4300000		
1641112	南通综艺投资有限公司	南通综艺	2011-05-12	246.57	1.57		
1641112	南通综艺投资有限公司	南通综艺	2012-05-30	143.47	297.6		
1641112	南通综艺投资有限公司	南通综艺	2014-05-15	116.37	754		
1641112	南通综艺投资有限公司	南通综艺	2015-05-15	83.64	2004	0	0
1641112	江苏省高科技产业投资有限公司	江苏高投	2011-05-12	231.83	167.07		
1641112	江苏省高科技产业投资有限公司	江苏高投	2012-05-30	133.93	378		
1641112	江苏省高科技产业投资有限公司	江苏高投	2014-05-15	93.13	519.6		
1641112	江苏省高科技产业投资有限公司	江苏高投	2015-05-15	73.80	200	0	0
16411374	广东粤财信托有限公司	粤财信托	2017-07-25	1.65	2458000		
16420169	上海证券交易所		2017-07-27		441300		
16420169	上海证券交易所		2017-07-27		310000		
16420169	中衡设计集团股份有限公司	公司	2017-07-27		441300		
16420169	上海证券交易所		2017-07-27		310000		
16420169	苏州赛普成长投资管理有限公司		2017-07-27		441300		
16420169	苏州赛普成长投资管理有限公司		2017-07-27		310000	7060460	0.0256
16423519	天勤十七号	天勤十七号	2017-07-27	15.810	200000		
16428973	杨民乐	杨民乐	2017-07-24	19.00元	45000		
16428973	杨民乐	杨民乐	2017-07-26	18.47元	110000		
16428973	杨民乐	杨民乐	2017-07-27	19.40元	49375	-	
16428973	和奔流	和奔流	2017-07-27	19.60元	100000		
16428973	和奔流	和奔流	2017-07-28	18.88元	1750000	28661456	0.0141
1643130	天津金渊	天津金渊	2015-05-18	34.62	13000000		
1643346	金岸公司	金岸公司	2015-05-18	24.01	1000000		
1643346	金岸公司	金岸公司	2015-05-19	24.72	450000		
1644258	中国平煤神马集团	中国平煤神马集团	2015-05-12	11.97	715900		
1644258	中国平煤神马集团	中国平煤神马集团	2015-05-18	13.88	6384500		
1644258	中国平煤神马集团	中国平煤神马集团	2015-05-19	13.71	5451410	97663326	19.42
1644333	纳路控股（香港）有限公司	纳路香港	2015-05-18	16.29	4000000		
1644333	纳路控股（香港）有限公司	纳路香港	2015-05-19	16.82	5000000	0	0
1645792	北京大学教育基金会	北京大学教育基金会	2015-05-20	19.77	100		
1646673	中国标准工业集团有限公司	标准集团	2015-05-21		4222700		
1646673	中国标准工业集团有限公司	标准集团	2015-03-18		5187300		
1646673	中国标准工业集团有限公司	标准集团	2015-03-18		17182778		
1646858	纳路控股（香港）有限公司	纳路香港	2015-05-20	17.43	4000000	0	0
164706	北京有色金属研究总院	有研总院	2012-08-31		80000	86393540	0.3972
1647081	江动集团	江动集团	2015-05-22	15.00	188.02	33000	23.26
1647742	TBPOLYMERLIMITED	TBPOLYMERLIMITED	2015-03-20	16.530	500		
1647742	TBPOLYMERLIMITED	TBPOLYMERLIMITED	2015-05-21	24.230	200		
1648704	太原东山煤矿有限责任公司	东山煤矿	2015-04-27		1323678		
1648704	太原东山煤矿有限责任公司	东山煤矿	2015-04-28		1436602		
1648704	太原东山煤矿有限责任公司	东山煤矿	2015-04-29		200000		
1648704	太原东山煤矿有限责任公司	东山煤矿	2015-05-22		726344		
1648924	佳都集团		2014-06-13		2000000	71310037	0.1427
1648924	上海证券交易所		2015年5月		3134590		
1648924	佳都集团		2015年5月		71310037	71310037	0.1427
1650114	包头雅本投资管理有限公司	雅本投资	2015-05-14	23.86	10000000		
1650114	包头雅本投资管理有限公司	雅本投资	2015-05-20	22.07	4190000		
1650114	包头雅本投资管理有限公司	雅本投资	2015-05-26	26.94	7.91	0	0
1650114	新余禧瑞	新余禧瑞	2015-05-12	21.15	8000000		
1650114	投资管理有限公司	投资管理有限公司	2015-05-14	23.86	500000		
1650114	新余科盈投资管理有限公司	科盈投资	2015-05-20	22.07	1610000		
1650114	新余科盈投资管理有限公司	科盈投资	2015-05-26	26.94	390000	0	0
16504104	上海集观	上海集观	2017-08-09	20.89	3002689	49328062	0.0549
1650488	广东知光生物科技有限公司	广东知光	2015-05-25	48.28	200		
1650488	广东知光生物科技有限公司	广东知光	2015-05-26	50.88	200		
16515383	中科汇通	中科汇通	2017-08-14	7.980	300		
1651900	上海仪电电子（集团）有限公司	仪电电子	2015-05-27		39324437		
1651900	上海仪电电子（集团）有限公司	仪电电子	2015-05-20		27324437		
1651900	上海仪电电子（集团）有限公司	仪电电子	2015-05-27		12000000	95210000	0.0742
1651924	广东德美精细化工股份有限公司	德美化工	2015-05-27	13.95	8600000		
1651930	云南铜业（集团）有限公司	云南铜业（集团）有限公司	2015-05-25	17.84	370.3		
1651930	股东名称	股东名称	本次减持前持有股份	本次减持前持有股份	本次减持后持有股份		
1651930	股东名称	股东名称	股数(万股)	占总股本比例(%)	股数(万股)		
1651930	云南铜业（集团）有限公司	云南铜业（集团）有限公司	68,234.88	48.17490	61154.88		
1651930	云南铜业（集团）有限公司	云南铜业（集团）有限公司	68,234.88	48.17490	61154.88		
1652447	纳路控股（香港）有限公司	纳路香港	2015-05-27	20.59	5000000	0	0
16527190	科华银赛创业投资有限公司	科华银赛	2017-08-14	23.96	515800	4784200	0.0467
16549105	浙江宏润控股有限公司	宏润控股	2017-02-22	7.00	4300		
1655478	曜丰投资	曜丰投资	2015-05-22	30.90	1000000		
1655478	曜丰投资	曜丰投资	2015-06-01	36.32	500000		
16559120	山东省高新技术创业投资有限公司	高新投	2017-06-22	9.08	80		
165596	斐大酒店有限公司	新有斐大酒店	2012-05-29		1251341		
1656597	江苏大洋投资有限公司	大洋投资	2015-06-01	19.48	270	13398.75	49.625
1656967	深圳市融信南方投资有限公司	融信南方	2015-05-27	27.47	900		
1656967	深圳市融信南方投资有限公司	融信南方	2015-06-01	29.28	900	131294059	14.35
1659353	黄伟国	黄伟国	2015-06-03	8.76	8200000	31500000	3.79
1659353	上海国骏投资有限公司	国骏投资	2015-06-04	8.65	12000000	0	0
1661236	北京市华远集团有限公司	北京华远	2015-06-05		5355700		
1661236	北京华远及其控股子公司深圳市新海投资控股有限公司	深圳新海	2015-06-05		9000000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／5／10	12.10	2350000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／5／18	12.59	200000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／5／19	12.99	100000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／5／22	13.21	150000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／7／10	10.67	100000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／7／11	10.55	20000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／7／12	10.30	50000		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／7／13	10.28	173700		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／8／25	9.71	162100		
16617474	股东深圳市创新投资集团有限公司	深创投	2017／8／28	9.75	264900	--	--
1662140	四川省峨眉山乐山大佛旅游集团总公司	集团总公司	2015-06-05	17.19	6000000		
1662545	东海基金资管计划	东海基金资管计划	2015-06-05		600		
1662545	东海基金资管计划	东海基金资管计划	2015-06-05		1000		
1662545	东海基金资管计划	东海基金资管计划	2015-06-05		1380		
16640124	股东北京立威特投资有限责任公司	立威特	2017-07-19	33.867	210837		
166522	中国物资储运总公司	中储总公司	2011-10-11		2185700		
166522	中国物资储运总公司	中储总公司	2011-12-13		8401070		
166522	中国物资储运总公司	中储总公司	2012-07-17		1202800		
166522	中储总公司持有公司		2012-07-17		385527090	386581080	0.4602
166522	中国物资储运总公司	中储总公司	2012-08-01		74400		
166522	中储总公司持有公司		2012-08-01		386581080	386581080	0.4602
166522	中储总公司累计增持公司		2012-08-01		10657860		
16656640	高新公司	高新公司	2017-09-04	22.303	95		
16656640	高新公司	高新公司	2017-09-05	21.821	43	0	0
1665851	青岛汉河集团股份有限公司	青岛汉河集团股份有限公司	2015-06-09	20.48	青岛汉河集团股份有限公司		
1665851	青岛汉河集团股份有限公司	青岛汉河集团股份有限公司	2015-06-10	21.00	青岛汉河集团股份有限公司		
1665908	永新国财	永新国财	2015-06-10	5.73	5050		
16665243	嘉谟逆向基金	嘉谟逆向基金	2017-09-07	31.56	86		
16669163	和谐成长	和谐成长	2017-03-16	20.40	308000	13972000	0.0499
16670214	杭州解百股份		2017-09-08		1651400		
16670214	杭州市商贸旅游集团有限公司	杭州商旅	2017-09-08		1651400		
16673163	股东拉萨市达实投资发展有限公司	达实投资	2017-09-06	6.39	19252400	0	0
1667745	江苏大洋投资有限公司	大洋投资	2015-06-02	20.51	230		
1667745	江苏大洋投资有限公司	大洋投资	2015-06-11	19.71	270		
16680634	湖北日升科技有限公司		2017-07-28		16480000		
16680634	湖北日升科技有限公司		2017-09-05		3584195		
16680634	湖北日升科技有限公司		2017-09-12		8240000		
16680634	湖北日升科技有限公司		2017-09-11		4093387		
16680634	湖北日升科技有限公司		2017-09-11		16480000		
16680634	湖北日升科技有限公司		2017-09-11		8240000		
16680634	湖北日升科技有限公司		2017-09-11		24720000		
